objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
301,42101031401,52,2003,2025,216946.24,8372.03,4116.23,23059.22,252493.72,4855.65
302,42101031402,61,2006,2025,222007.04,29585.72,8012.55,27431.36,287036.67,4705.52
303,42101031501,59,2012,2025,259464.35,28157.74,8161.29,39446.25,335229.63,5681.86
304,42101031502,48,2004,2025,210736.02,31527.47,8142.89,34375.48,284781.86,5932.96
305,42101031600,67,1988,2025,334506.66,87825.19,14283.49,54108.58,490723.92,7324.24
306,42101031700,84,1990,2025,319373.87,56511.69,10869.84,52741.17,439496.57,5232.1
307,42101031800,84,1997,2025,204671.05,42667.82,8182.68,72407.62,327929.17,3903.92
308,42101031900,110,1997,2025,355183.65,48839.57,11213.41,64335.19,479571.82,4359.74
309,42101032000,107,2004,2025,365069.2,62657.2,13559.4,61586.61,502872.41,4699.74
310,42101032100,133,1997,2025,588909.1,108671.29,23655.77,108572.19,829808.35,6239.16
311,42101032300,80,1997,2025,318975.69,50735.15,10518.58,55353.1,435582.52,5444.78
312,42101032500,124,1997,2025,522792.85,112505.72,17820.71,104562.67,757681.95,6110.34
313,42101032600,113,2001,2025,445181.15,32031.4,11864.98,67497.4,556574.93,4925.44
314,42101032900,99,1997,2025,416781.53,85072.11,13905.87,86333.49,602093,6081.75
315,42101033000,139,1997,2025,519660.49,98007.82,15655.44,95251.7,728575.45,5241.55
316,42101033101,64,2010,2025,256276.63,15121.67,6161.45,22385.09,299944.84,4686.64
317,42101033102,59,1989,2025,354856.68,84270.11,21425.39,51783.35,512439.83,8685.42
318,42101033200,30,2013,2025,208137.9,4480.08,2483.08,13383.58,228484.64,7616.15
319,42101033300,36,2005,2025,452303.62,38637.4,10073.72,34814.89,535829.63,14884.16
320,42101033400,66,1999,2025,583054.44,34061.36,10028.41,53567.71,680711.92,10313.82
321,42101033500,38,2011,2025,168512.1,6863.07,3144.21,18091.34,196610.72,5173.97
322,42101033600,75,1997,2025,388472.59,29981.71,8795.72,45086.63,472336.65,6297.82
323,42101033701,49,2010,2025,233538.89,13310.32,6295.45,26493.67,279638.33,5706.9
324,42101033702,74,1997,2025,358455.86,32148.41,8551.34,47096.69,446252.3,6030.44
325,42101033800,85,1997,2025,475697.98,87279.96,14455,79937.66,657370.6,7733.77
326,42101033900,29,1997,2025,205897.62,28718.79,6688.2,25570.08,266874.69,9202.58
327,42101034000,35,1997,2025,356278.49,30109.34,10895.54,35682.02,432965.39,12370.44
328,42101034100,64,1997,2025,354007.36,24562.42,9071.35,34916.39,422557.52,6602.46
329,42101034200,187,2012,2025,421526.63,44484.57,3772.44,30989.77,500773.41,2677.93
330,42101034400,61,1978,2025,676397.92,102720.75,18463.7,109477.33,907059.7,14869.83
331,42101034501,9,2003,2025,42843.35,9066.01,771.03,4059.61,56740,6304.44
332,42101034502,167,2017,2025,255067.33,19763.27,4963.75,35608.37,315402.72,1888.64
333,42101034600,15,1986,2025,402487.87,27525.2,8474.45,20067.55,458555.07,30570.34
334,42101034701,54,1997,2025,235231.04,20309.37,5198.56,32650.03,293389,5433.13
335,42101034702,42,2006,2025,277506.42,24809.93,7587.06,23888.65,333792.06,7947.43
336,42101034801,45,1989,2025,272833.13,51938.6,11060.35,40698.47,376530.55,8367.35
337,42101034802,45,2002,2025,382117.29,37745.27,12074.89,46657.45,478594.9,10635.44
338,42101034803,50,1997,2025,239056.82,30423.75,7856.92,33014.91,310352.4,6207.05
339,42101034900,80,1996,2025,427143.32,42215.45,11628.08,71763.28,552750.13,6909.38
340,42101035100,61,1997,2025,359333.6,57926.51,14104.65,42451.27,473816.03,7767.48
341,42101035200,54,1997,2025,247927.47,39892.98,9962.77,42257.85,340041.07,6297.06
342,42101035301,59,1997,2025,304472.13,53005.45,10393.81,38683.4,406554.79,6890.76
343,42101035302,70,1990,2025,464990.72,101006.66,14737.57,59312.01,640046.96,9143.53
344,42101035500,71,1997,2025,550441.42,94261.54,17329.16,69823.7,731855.82,10307.83
345,42101035601,44,2010,2025,229157.81,22609.77,6660.3,25368.91,283796.79,6449.93
346,42101035602,23,2000,2025,139623.86,15213.08,2769.92,11858.3,169465.16,7368.05
347,42101035701,20,1997,2025,91333.4,12832.19,3393.91,13830.56,121390.06,6069.5
348,42101035702,23,2017,2025,120115.38,7055.74,3225.47,13497.02,143893.61,6256.24
349,42101035800,78,1979,2025,739455.55,110651.86,25316.54,57306.41,932730.36,11958.08
350,42101035900,52,1997,2025,499571.75,64226.14,14861.52,60291.21,638950.62,12287.51
351,42101036000,26,1997,2025,174786.66,21761.59,5444.79,24712.64,226705.68,8719.45
352,42101036100,26,2012,2025,82485.74,7867.67,3407.47,11992.4,105753.28,4067.43
353,42101036201,58,1985,2025,484336.41,48946.88,7070.93,51935.75,592289.97,10211.9
354,42101036202,51,2005,2025,221335.86,19104.86,7120.98,26042.28,273603.98,5364.78
355,42101036203,57,1978,2025,553088.64,202112.11,23201.07,56353.38,834755.2,14644.83
356,42101036301,42,2011,2025,856505.39,75833.01,27682.63,58152.77,1018173.8,24242.23
357,42101036302,47,2009,2025,234211.13,23453.56,7789.66,33563.11,299017.46,6362.07
358,42101036303,72,1997,2025,577290.61,89182.2,12060.36,50336.87,728870.04,10123.2
359,42101036400,6,1997,2025,76788.62,15477.72,2724.26,13512.33,108502.93,18083.82
360,42101036501,48,1994,2025,286115.8,34136.52,8533.01,32208.77,360994.1,7520.71
361,42101036502,33,1979,2025,210250.48,43958.15,7372.88,34603.14,296184.65,8975.29
362,42101036600,39,1978,2025,1693312.22,147787.81,51178.08,33619.59,1925897.7,49381.99
363,42101036700,104,1985,2025,1125492.27,109650.51,29446.79,78546.13,1343135.7,12914.77
364,42101036901,1,2025,2025,5516.2,124.11,110.32,107.45,5858.08,5858.08
365,42101036902,6,2020,2025,1358149.54,204407.75,55257.95,66256.63,1684071.87,280678.65
366,42101037200,109,2000,2025,749407.09,78418.91,18409.6,65467.99,911703.59,8364.25
367,42101037300,64,2002,2025,1142045.67,83761.17,26486.77,62214.12,1314507.73,20539.18
368,42101037500,51,1998,2025,546146.67,66833.8,13592.31,38291.39,664864.17,13036.55
369,42101037600,103,1991,2025,2995887.27,238407.65,110732.65,153230.77,3498258.34,33963.67
370,42101037700,227,1978,2025,1023227.12,206269.87,36195.32,273092.7,1538785.01,6778.79
371,42101037800,175,1978,2025,1755826.59,184785.29,52664.92,186283.25,2179560.05,12454.63
372,42101037900,196,1997,2025,948884.27,133502.37,29064.61,133767.69,1245218.94,6353.16
373,42101038000,175,1989,2025,582812.32,189408.88,23019.17,161779.73,957020.1,5468.69
374,42101038100,82,1990,2025,471796.16,84213.04,15834.97,72889.45,644733.62,7862.61
375,42101038200,199,1989,2025,1235993.22,226495.29,50131.77,163232,1675852.28,8421.37
376,42101038301,173,1978,2025,507354.51,181433.62,21854.97,148604.23,859247.33,4966.75
377,42101038400,22,2013,2025,205976.13,9188.28,3456.64,13099.87,231720.92,10532.77
378,42101038500,31,2019,2025,520604.85,44435.41,19562.29,39153.86,623756.41,20121.17
379,42101038600,10,2015,2025,118689.32,3387.23,1572.65,4355.32,128004.52,12800.45
380,42101038700,37,2011,2025,1434927.72,147207.82,55183,25951.54,1663270.08,44953.25
381,42101038800,101,1997,2025,662009.72,124525.34,28674.81,108150.54,923360.41,9142.18
382,42101038900,129,1978,2025,1037067.7,295718.31,35122.51,137852.75,1505761.27,11672.57
383,42101039001,52,2002,2025,219201.23,23347.95,6971.67,39800.08,289320.93,5563.86
384,42101039002,82,1997,2025,377374.91,45883.57,11992.16,44217.15,479467.79,5847.17
385,42101039100,101,1991,2025,513042.5,91652.27,21155.92,96012.62,721863.31,7147.16
386,42101980002,1,2025,2025,15919.03,358.17,318.38,107.45,16703.03,16703.03
387,42101980100,2,2006,2025,32687.77,15110,1921.17,8712.23,58431.17,29215.59
388,42101980200,1,2020,2025,2619.22,203.7,74.69,943.67,3841.28,3841.28
389,42101980300,3,1989,2025,33254.29,71642.01,2994.26,580.34,108470.9,36156.97
390,42101980600,1,2025,2025,9546.43,214.8,190.92,107.45,10059.6,10059.6
391,42101980701,6,2023,2025,262212.4,8133,6436.56,1011.92,277793.88,46298.98
392,42101980702,9,2018,2025,188006.62,13914.59,8173.68,10412.32,220507.21,24500.8
393,42101980901,21,1997,2025,434639.49,63576.47,18170.55,28350.9,544737.41,25939.88
394,42101980902,1,2019,2025,718.11,145.74,33.42,843.14,1740.41,1740.41
395,42101980903,10,1997,2025,27010.09,9675.41,1165.53,21690.93,59541.96,5954.2
396,42101980904,3,1988,2025,9203.95,3696.41,319.28,2659.93,15879.57,5293.19
397,42101980905,1,2020,2025,23419.62,4350.15,1204.96,594.7,29569.43,29569.43
398,42101980906,5,2017,2025,77244.03,6330.58,3326.32,3189.78,90090.71,18018.14
399,42101989100,4,2025,2025,21062.19,318.48,283.1,322.35,21986.12,5496.53
400,42101989200,5,2018,2025,178971.27,20767.7,6715.35,4188.96,210643.28,42128.66
401,42101989300,19,1989,2025,143238.53,26615.09,6719.91,19823.04,196396.57,10336.66
402,Other/Unidentified,80,1978,2025,241497.26,195827.37,13127.51,67753.11,518205.25,6477.57
