objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
61,42101004202,127,1982,2025,689074.27,130285.57,18548.97,86895.35,924804.16,7281.92
62,42101005400,27,1978,2025,154239.75,34066.85,3489.26,29210.04,221005.9,8185.4
63,42101005500,141,1997,2025,678298.47,75527.45,21373.67,122439.76,897639.35,6366.24
64,42101005600,33,1997,2025,115303.19,37997.43,5929.77,36462.45,195692.84,5930.09
65,42101006000,234,1988,2025,871317,187792.88,34466.05,192042.3,1285618.23,5494.1
66,42101006100,88,1999,2025,262587,51283.83,11617.56,49190.67,374679.06,4257.72
67,42101006200,163,1993,2025,485892.61,106726.2,22958.3,113506.99,729086.1,4472.92
68,42101006300,298,1987,2025,1143859.34,408459.11,58750.89,318168.13,1929237.47,6473.95
69,42101006400,255,1978,2025,830366.21,260537.73,40783.35,286801.83,1418536.08,5562.89
70,42101006500,476,1985,2025,1756914,736702.45,79634.65,592098.44,3165419.61,6650.04
71,42101006600,429,1983,2025,1328507.36,719105.54,71489.07,650406.92,2769508.89,6455.73
72,42101006700,412,1985,2025,1407957.97,389641.9,63881.35,379066.72,2240547.94,5438.22
73,42101007000,379,1982,2025,1146564.66,421440.96,52771.09,380233.64,2001010.35,5279.71
74,42101007101,232,1991,2025,780542.27,210387.17,36711.48,207454.32,1235095.24,5323.69
75,42101007102,425,1988,2025,1444790.83,474278.91,62879.59,418811.44,2400760.77,5648.85
76,42101007200,343,1983,2025,1346732.66,336562.97,60050.86,289349.47,2032695.96,5926.23
77,42101007300,267,1978,2025,1283700.49,265805.97,48373.63,217724.67,1815604.76,6800.02
78,42101007400,487,1978,2025,1801854.2,435690.61,69377.37,432594.74,2739516.92,5625.29
79,42101007700,75,1978,2025,265320.96,65158.99,9490.1,47652.52,387622.57,5168.3
80,42101007800,74,1989,2025,1088906.91,102199.75,31341.39,87465.87,1309913.92,17701.54
81,42101007900,73,1992,2025,818905.34,71454.01,19579.83,58948.05,968887.23,13272.43
82,42101008000,257,1985,2025,1513983.23,165641.31,41520,215792.33,1936936.87,7536.72
83,42101008101,223,1990,2025,851109.09,221797,31971.42,206685.22,1311562.73,5881.45
84,42101008102,372,1985,2025,1542507.49,259987.8,41082.44,317980.38,2161558.11,5810.64
85,42101008200,453,1978,2025,1933543.05,484212.47,65245.78,397794.59,2880795.89,6359.37
86,42101008301,245,1984,2025,771192.82,213058.01,30682.38,213389.12,1228322.33,5013.56
87,42101008302,364,1978,2025,1235125.99,341475.25,53545.32,306493.79,1936640.35,5320.44
88,42101008400,370,1986,2025,1387090.17,273868.35,49187.95,303034.64,2013619.27,5442.21
89,42101008500,547,1978,2025,2832831.61,755263.44,113585.73,520139.05,4221819.83,7718.13
90,42101008601,43,2001,2025,606641.75,46717.21,19674.65,51135.78,724169.39,16841.15
91,42101008602,87,1997,2025,854613.42,90078.17,22332.26,89132.06,1056155.91,12139.72
92,42101008701,49,1997,2025,559791.19,56118.04,19008.89,46830.89,681749.01,13913.25
93,42101008702,37,2018,2025,772686.78,27462.89,22023.61,35477.3,857650.58,23179.75
94,42101008801,1,2025,2025,5236.63,117.81,104.74,107.45,5566.63,5566.63
95,42101008802,20,2015,2025,386242.64,8548.32,5242.07,10701.75,410734.78,20536.74
96,42101009000,77,1992,2025,1046584.8,161703.7,37617.45,93757.87,1339663.82,17398.23
97,42101009100,58,1995,2025,1009545.6,75286.24,21920.6,51364.13,1158116.57,19967.53
98,42101009200,114,1978,2025,853949.47,71485.69,22525.13,83426.74,1031387.03,9047.25
99,42101009300,426,1978,2025,1457238.19,451641.85,71890.16,423035.94,2403806.14,5642.74
